ticket_id,customer_id,booking_id,agent_id,issue_type,channel,country,created_at,wait_time,resolution_time,csat_score,escalated,refund_requested,sla_breached
TKT0000024,CUST007037,BKG0041697,AGT0041,Booking Modification,chat,Singapore,2024-10-14 16:41:00,13,27,3,False,False,False
TKT0000025,CUST010502,BKG0023971,AGT0127,Refund Inquiry,chat,Indonesia,2024-07-10 12:28:00,23,33,3,False,True,False
TKT0000026,CUST017600,BKG0025014,AGT0044,Booking Modification,call,Singapore,2024-07-07 14:55:00,7,15,2,False,False,False
TKT0000027,CUST015838,BKG0038301,AGT0089,Booking Modification,email,India,2023-07-14 15:48:00,21,34,4,False,False,False
TKT0000028,CUST013799,BKG0026278,AGT0009,Booking Modification,call,Thailand,2023-12-28 06:49:00,13,23,4,False,True,False
TKT0000029,CUST002945,BKG0029873,AGT0063,Booking Modification,email,Philippines,2024-10-11 22:50:00,19,21,4,False,False,False
TKT0000030,CUST006983,BKG0002931,AGT0077,Booking Modification,call,Indonesia,2024-03-19 21:35:00,13,13,4,False,False,False
TKT0000031,CUST007247,BKG0030209,AGT0008,Cancellation Request,chat,Philippines,2023-12-21 13:09:00,10,28,5,False,False,False
TKT0000032,CUST008788,BKG0022948,AGT0131,Booking Modification,call,Indonesia,2024-12-05 18:36:00,19,44,3,False,False,False
TKT0000033,CUST002987,BKG0042721,AGT0109,Hotel Complaint,email,Philippines,2023-08-07 11:09:00,61,68,4,False,False,True
TKT0000034,CUST008862,BKG0042086,AGT0053,Payment Issue,call,Singapore,2024-06-26 03:01:00,29,44,5,False,False,False
TKT0000035,CUST006471,BKG0015658,AGT0056,Booking Modification,email,Thailand,2024-05-03 10:47:00,43,64,2,True,False,True
TKT0000036,CUST004194,BKG0032031,AGT0025,Cancellation Request,call,India,2023-07-06 09:06:00,20,34,5,False,True,False
TKT0000037,CUST016650,BKG0032650,AGT0117,Payment Issue,email,Philippines,2023-12-28 15:03:00,29,47,5,False,True,False
TKT0000038,CUST004980,BKG0012881,AGT0043,Cancellation Request,email,India,2024-08-28 13:13:00,63,97,5,False,True,True
TKT0000039,CUST011276,BKG0016027,AGT0127,Cancellation Request,call,Philippines,2024-02-02 02:56:00,23,29,4,False,True,False
TKT0000040,CUST007831,BKG0010849,AGT0010,Cancellation Request,call,Thailand,2024-04-04 09:14:00,11,11,5,False,False,False
TKT0000041,CUST017056,BKG0015681,AGT0065,Payment Issue,email,Singapore,2023-11-16 09:29:00,60,97,4,False,False,True
TKT0000042,CUST004216,BKG0017339,AGT0045,Hotel Complaint,chat,Vietnam,2023-05-22 08:32:00,14,15,4,False,False,False
TKT0000043,CUST001477,BKG0008502,AGT0131,Refund Inquiry,email,Singapore,2024-11-14 05:10:00,8,20,5,False,False,False
TKT0000044,CUST014020,BKG0004163,AGT0057,Booking Modification,email,Singapore,2024-12-19 09:20:00,30,41,4,False,False,False
TKT0000045,CUST005739,BKG0019412,AGT0084,Booking Modification,email,India,2024-05-03 16:55:00,28,39,4,False,False,False
TKT0000046,CUST016350,BKG0000061,AGT0037,Cancellation Request,call,Indonesia,2023-12-07 11:56:00,10,10,4,False,False,False
TKT0000047,CUST011928,BKG0029509,AGT0071,Booking Modification,call,India,2024-04-15 18:25:00,11,24,4,False,False,False
TKT0000048,CUST014846,BKG0033866,AGT0137,Refund Inquiry,call,Indonesia,2024-11-05 23:08:00,15,29,3,True,True,False
TKT0000049,CUST003642,BKG0020836,AGT0105,Refund Inquiry,email,Thailand,2024-08-16 12:14:00,107,138,3,False,True,True
TKT0000050,CUST000067,BKG0030634,AGT0016,Payment Issue,call,Philippines,2024-09-26 06:41:00,29,46,5,False,True,False
TKT0000051,CUST004089,BKG0022504,AGT0124,Booking Modification,email,India,2024-03-07 07:30:00,39,59,3,True,False,True
TKT0000052,CUST012358,BKG0034068,AGT0129,Refund Inquiry,chat,India,2024-09-17 07:01:00,16,16,5,False,False,False
TKT0000053,CUST007643,BKG0038429,AGT0088,Payment Issue,email,Thailand,2023-12-19 12:37:00,39,72,4,False,True,True
TKT0000054,CUST012271,BKG0025404,AGT0005,Booking Modification,chat,Indonesia,2024-07-07 15:57:00,10,31,3,False,False,False
TKT0000055,CUST005602,BKG0007646,AGT0125,Cancellation Request,email,Philippines,2024-03-11 14:31:00,54,72,3,True,True,True
TKT0000056,CUST016758,BKG0043091,AGT0078,Booking Modification,chat,Indonesia,2024-12-03 09:46:00,7,35,2,False,False,False
TKT0000057,CUST007489,BKG0021150,AGT0117,Booking Modification,chat,Vietnam,2023-06-06 11:11:00,6,6,3,False,False,False
TKT0000058,CUST005158,BKG0001213,AGT0048,Booking Modification,chat,Indonesia,2024-12-19 13:13:00,7,7,4,False,False,False
TKT0000059,CUST001715,BKG0006273,AGT0103,Refund Inquiry,chat,Indonesia,2024-10-22 16:06:00,14,31,3,False,True,False
TKT0000060,CUST016836,BKG0016679,AGT0085,Hotel Complaint,call,Vietnam,2024-03-07 11:54:00,20,46,5,False,False,False
TKT0000061,CUST013368,BKG0027078,AGT0133,Refund Inquiry,call,Philippines,2023-09-05 10:00:00,24,39,4,False,True,False
TKT0000062,CUST007650,BKG0014436,AGT0096,Cancellation Request,call,India,2023-01-21 15:40:00,21,40,4,False,False,False
TKT0000063,CUST006930,BKG0021855,AGT0024,Booking Modification,email,Indonesia,2023-09-28 12:26:00,22,32,3,True,False,False
TKT0000064,CUST008475,BKG0012992,AGT0083,Payment Issue,email,Vietnam,2023-08-07 10:39:00,44,55,4,True,True,True
TKT0000065,CUST004622,BKG0012793,AGT0110,Refund Inquiry,call,Philippines,2023-11-16 10:25:00,23,23,5,False,False,False
TKT0000066,CUST013606,BKG0022448,AGT0019,Hotel Complaint,chat,Vietnam,2023-10-28 21:51:00,7,7,3,False,False,False
TKT0000067,CUST008733,BKG0034315,AGT0127,Refund Inquiry,chat,Thailand,2023-04-25 20:57:00,10,21,5,False,True,False
TKT0000068,CUST015620,BKG0034129,AGT0020,Cancellation Request,call,Philippines,2024-04-24 10:23:00,16,16,4,False,True,False
TKT0000069,CUST010328,BKG0043728,AGT0116,Cancellation Request,call,Philippines,2024-02-24 22:28:00,6,6,3,False,True,False
TKT0000070,CUST009698,BKG0032196,AGT0123,Refund Inquiry,email,India,2024-09-05 11:13:00,61,89,3,False,True,True
TKT0000071,CUST001502,BKG0002470,AGT0095,Cancellation Request,chat,Thailand,2024-09-10 14:00:00,11,11,5,False,False,False
TKT0000072,CUST015864,BKG0041289,AGT0086,Booking Modification,email,Indonesia,2024-12-08 20:00:00,34,41,3,False,False,True
TKT0000073,CUST017557,BKG0048646,AGT0120,Refund Inquiry,chat,India,2023-01-09 11:50:00,17,17,5,False,True,False
TKT0000074,CUST016375,BKG0020713,AGT0058,Cancellation Request,call,Indonesia,2023-11-07 09:50:00,7,7,4,False,False,False
TKT0000075,CUST006483,BKG0037020,AGT0034,Cancellation Request,call,Thailand,2024-02-19 12:35:00,12,12,4,False,False,False
TKT0000076,CUST000288,BKG0010868,AGT0015,Hotel Complaint,call,Vietnam,2023-12-26 05:15:00,13,20,4,False,False,False
TKT0000077,CUST010423,BKG0009644,AGT0082,Payment Issue,chat,Thailand,2024-01-15 22:40:00,19,24,3,False,True,False
TKT0000078,CUST012334,BKG0005537,AGT0048,Hotel Complaint,call,Philippines,2024-08-28 02:30:00,20,27,5,False,True,False
TKT0000079,CUST000083,BKG0031606,AGT0032,Hotel Complaint,email,Singapore,2024-04-21 13:25:00,23,47,4,False,False,False
TKT0000080,CUST016067,BKG0002215,AGT0141,Booking Modification,email,Thailand,2024-03-02 15:30:00,35,42,3,False,False,True
TKT0000081,CUST000155,BKG0043167,AGT0063,Cancellation Request,chat,Thailand,2023-04-09 13:04:00,14,14,4,False,False,False
TKT0000082,CUST002752,BKG0033879,AGT0128,Cancellation Request,call,Vietnam,2023-03-25 16:21:00,16,28,5,False,True,False
TKT0000083,CUST000725,BKG0027881,AGT0141,Booking Modification,email,Indonesia,2023-06-19 09:39:00,34,38,3,False,False,True
TKT0000084,CUST002580,BKG0005170,AGT0016,Refund Inquiry,chat,Thailand,2024-02-06 10:55:00,14,32,4,False,True,False
TKT0000085,CUST012376,BKG0015479,AGT0141,Booking Modification,chat,Singapore,2023-03-18 07:40:00,7,18,4,False,False,False
TKT0000086,CUST015029,BKG0018439,AGT0134,Booking Modification,email,India,2024-01-20 11:59:00,40,40,4,True,False,True
TKT0000087,CUST011942,BKG0007496,AGT0088,Refund Inquiry,chat,Indonesia,2023-08-25 15:55:00,9,9,2,False,False,False
TKT0000088,CUST017019,BKG0033758,AGT0013,Cancellation Request,chat,Singapore,2023-07-26 15:58:00,12,12,3,False,True,False
TKT0000089,CUST003753,BKG0013798,AGT0088,Payment Issue,chat,Philippines,2024-01-19 18:34:00,16,27,5,False,False,False
TKT0000090,CUST015887,BKG0000561,AGT0031,Booking Modification,email,Vietnam,2024-12-16 23:26:00,38,53,4,False,False,True
TKT0000091,CUST011368,BKG0021570,AGT0004,Booking Modification,chat,Indonesia,2024-12-10 11:43:00,6,11,4,False,False,False
TKT0000092,CUST008962,BKG0026285,AGT0027,Refund Inquiry,email,Indonesia,2024-09-11 10:55:00,45,66,3,False,True,True
TKT0000093,CUST011305,BKG0039189,AGT0077,Payment Issue,chat,Thailand,2024-12-23 22:18:00,19,20,2,True,True,False
TKT0000094,CUST011625,BKG0018950,AGT0049,Booking Modification,chat,Thailand,2023-01-23 12:30:00,5,12,3,False,False,False
TKT0000095,CUST008250,BKG0046757,AGT0115,Hotel Complaint,email,Thailand,2024-12-12 10:29:00,26,35,4,False,True,False
TKT0000096,CUST012864,BKG0045354,AGT0080,Cancellation Request,email,Thailand,2024-03-21 09:31:00,65,80,4,False,False,True
TKT0000097,CUST008742,BKG0012667,AGT0054,Booking Modification,chat,Singapore,2023-10-18 10:03:00,11,24,4,False,False,False
TKT0000098,CUST001884,BKG0015045,AGT0074,Cancellation Request,call,Thailand,2024-10-23 10:27:00,21,25,4,False,False,False
TKT0000099,CUST000065,BKG0049564,AGT0034,Cancellation Request,chat,Philippines,2023-05-02 11:15:00,9,9,4,True,False,False
TKT0000100,CUST016143,BKG0026499,AGT0139,Refund Inquiry,call,Philippines,2023-07-13 14:58:00,24,34,5,False,True,False
TKT0000101,CUST000547,BKG0041753,AGT0116,Booking Modification,chat,Thailand,2024-06-03 01:31:00,7,17,5,False,False,False
TKT0000102,CUST013593,BKG0016694,AGT0093,Payment Issue,chat,Philippines,2023-12-22 13:17:00,15,33,3,False,True,False
TKT0000103,CUST001393,BKG0033840,AGT0003,Cancellation Request,chat,Singapore,2024-04-04 17:15:00,14,14,3,False,False,False
TKT0000104,CUST010521,BKG0042574,AGT0065,Cancellation Request,call,Indonesia,2023-03-25 12:18:00,9,23,2,False,False,False
TKT0000105,CUST000955,BKG0002321,AGT0136,Payment Issue,email,Thailand,2023-10-06 20:10:00,36,43,5,False,False,True
TKT0000106,CUST001088,BKG0004938,AGT0132,Hotel Complaint,email,Thailand,2023-10-27 07:24:00,41,56,4,False,True,True
TKT0000107,CUST009339,BKG0049535,AGT0025,Booking Modification,call,Indonesia,2023-07-17 18:51:00,6,6,3,False,False,False
TKT0000108,CUST012007,BKG0018312,AGT0092,Payment Issue,email,Vietnam,2023-04-14 07:33:00,57,84,5,True,True,True
TKT0000109,CUST015913,BKG0022453,AGT0023,Refund Inquiry,email,India,2024-12-05 20:44:00,44,46,3,False,True,True
TKT0000110,CUST017614,BKG0023980,AGT0112,Booking Modification,call,Indonesia,2024-07-01 07:18:00,11,12,5,False,True,False
TKT0000111,CUST005252,BKG0018739,AGT0115,Refund Inquiry,chat,Philippines,2023-04-26 20:36:00,7,12,5,False,True,False
TKT0000112,CUST009881,BKG0007236,AGT0069,Cancellation Request,email,Thailand,2023-11-18 10:22:00,50,76,3,False,True,True
TKT0000113,CUST007970,BKG0000018,AGT0071,Cancellation Request,email,Vietnam,2024-12-16 16:50:00,63,97,3,False,False,True
TKT0000114,CUST004594,BKG0005774,AGT0126,Booking Modification,email,Vietnam,2023-02-22 05:49:00,33,41,4,True,False,True
TKT0000115,CUST010714,BKG0001017,AGT0145,Cancellation Request,call,Indonesia,2023-07-04 07:27:00,21,30,3,True,False,False
TKT0000116,CUST000127,BKG0035171,AGT0017,Cancellation Request,chat,Thailand,2024-07-18 01:00:00,16,19,4,True,True,False
TKT0000117,CUST004599,BKG0006127,AGT0099,Payment Issue,call,Vietnam,2024-06-04 08:24:00,33,53,2,False,False,True
TKT0000118,CUST001971,BKG0044916,AGT0100,Booking Modification,call,Singapore,2024-09-16 10:33:00,7,32,3,False,True,False
TKT0000119,CUST004969,BKG0047904,AGT0099,Booking Modification,chat,Indonesia,2023-12-19 10:19:00,4,4,3,False,True,False
TKT0000120,CUST017416,BKG0034307,AGT0054,Refund Inquiry,chat,Vietnam,2023-02-17 09:18:00,14,30,4,False,False,False
TKT0000121,CUST006752,BKG0044778,AGT0082,Booking Modification,call,Singapore,2023-04-08 20:43:00,10,10,4,False,False,False
TKT0000122,CUST007258,BKG0007302,AGT0064,Booking Modification,chat,Philippines,2023-01-10 16:25:00,7,17,3,False,False,False
TKT0000123,CUST010978,BKG0001152,AGT0075,Cancellation Request,email,India,2024-05-18 10:09:00,22,34,4,False,False,False
TKT0000124,CUST004210,BKG0031397,AGT0148,Refund Inquiry,chat,Thailand,2024-04-28 17:30:00,11,14,5,False,False,False
TKT0000125,CUST017909,BKG0047892,AGT0009,Booking Modification,email,Philippines,2023-07-11 11:28:00,41,47,4,False,False,True
TKT0000126,CUST007621,BKG0031498,AGT0148,Cancellation Request,email,Thailand,2023-06-11 16:00:00,42,80,2,False,True,True
TKT0000127,CUST001971,BKG0008190,AGT0129,Hotel Complaint,call,India,2023-08-17 07:34:00,12,31,2,False,False,False
TKT0000128,CUST004426,BKG0035006,AGT0064,Refund Inquiry,call,Vietnam,2023-05-19 02:46:00,22,28,4,True,False,False
TKT0000129,CUST007627,BKG0029913,AGT0104,Payment Issue,email,Thailand,2024-05-06 07:52:00,77,109,2,False,True,True
TKT0000130,CUST016013,BKG0031462,AGT0146,Cancellation Request,email,Philippines,2024-02-22 16:57:00,39,50,4,False,False,True
TKT0000131,CUST011528,BKG0042298,AGT0030,Refund Inquiry,call,India,2024-02-24 02:03:00,24,44,2,False,True,False
TKT0000132,CUST004150,BKG0020543,AGT0067,Refund Inquiry,chat,Philippines,2023-02-07 12:21:00,19,19,4,False,True,False
TKT0000133,CUST015697,BKG0020554,AGT0004,Booking Modification,chat,India,2024-09-03 14:44:00,8,8,3,False,True,False
TKT0000134,CUST013131,BKG0042089,AGT0041,Booking Modification,chat,Thailand,2023-05-22 20:54:00,6,6,4,False,False,False
TKT0000135,CUST017761,BKG0045589,AGT0132,Cancellation Request,call,India,2024-07-23 15:06:00,27,38,5,False,False,False
TKT0000136,CUST017274,BKG0015106,AGT0027,Refund Inquiry,chat,Thailand,2024-05-26 07:40:00,8,16,4,False,True,False
TKT0000137,CUST016316,BKG0019136,AGT0045,Booking Modification,chat,Singapore,2024-01-02 08:54:00,7,7,4,False,False,False
TKT0000138,CUST005520,BKG0000576,AGT0083,Payment Issue,call,India,2024-01-28 08:02:00,18,40,5,True,True,False
TKT0000139,CUST015483,BKG0031215,AGT0105,Booking Modification,chat,India,2023-11-05 08:44:00,12,26,4,False,False,False
TKT0000140,CUST015806,BKG0027711,AGT0007,Hotel Complaint,call,Philippines,2023-08-16 07:34:00,6,6,4,True,False,False
TKT0000141,CUST015345,BKG0016344,AGT0119,Refund Inquiry,chat,Thailand,2024-05-24 09:53:00,14,23,3,False,False,False
TKT0000142,CUST014387,BKG0026922,AGT0130,Refund Inquiry,chat,Philippines,2024-12-14 11:42:00,3,22,4,False,True,False
TKT0000143,CUST002934,BKG0046507,AGT0107,Cancellation Request,chat,Indonesia,2024-01-24 15:21:00,14,15,3,True,True,False
TKT0000144,CUST007817,BKG0043462,AGT0111,Cancellation Request,email,Thailand,2024-02-07 01:05:00,28,31,3,False,False,False
TKT0000145,CUST009411,BKG0005638,AGT0122,Hotel Complaint,chat,Thailand,2024-09-19 18:34:00,14,14,5,False,False,False
TKT0000146,CUST012082,BKG0020929,AGT0046,Hotel Complaint,call,Vietnam,2024-06-22 12:18:00,16,24,4,False,False,False
TKT0000147,CUST007862,BKG0042858,AGT0035,Booking Modification,email,Thailand,2023-06-07 12:51:00,35,60,5,False,True,True
TKT0000148,CUST009863,BKG0014153,AGT0057,Booking Modification,chat,Indonesia,2024-07-08 10:29:00,6,6,3,True,False,False
TKT0000149,CUST002347,BKG0013479,AGT0037,Hotel Complaint,chat,Thailand,2023-08-11 09:21:00,13,33,3,False,False,False
TKT0000150,CUST012261,BKG0047501,AGT0094,Refund Inquiry,call,India,2024-01-04 20:31:00,32,37,5,False,False,True
TKT0000151,CUST015555,BKG0047114,AGT0119,Refund Inquiry,chat,India,2023-11-03 12:40:00,23,25,3,False,True,False
TKT0000152,CUST016380,BKG0019694,AGT0116,Payment Issue,email,Indonesia,2024-03-24 12:32:00,114,158,5,False,False,True
TKT0000153,CUST014305,BKG0007830,AGT0134,Payment Issue,chat,Indonesia,2023-01-23 17:04:00,17,26,4,False,True,False
TKT0000154,CUST016893,BKG0001011,AGT0049,Cancellation Request,chat,Singapore,2024-11-03 15:00:00,15,43,3,False,True,False
TKT0000155,CUST005971,BKG0049039,AGT0074,Booking Modification,call,India,2024-11-09 10:05:00,15,15,3,False,True,False
TKT0000156,CUST003277,BKG0049999,AGT0051,Hotel Complaint,chat,Thailand,2023-09-19 13:16:00,8,15,4,False,False,False
TKT0000157,CUST004704,BKG0028173,AGT0143,Cancellation Request,chat,Vietnam,2023-10-27 08:52:00,9,15,3,True,True,False
TKT0000158,CUST016656,BKG0017947,AGT0145,Cancellation Request,call,Indonesia,2023-06-06 00:22:00,19,19,4,False,False,False
TKT0000159,CUST017153,BKG0022351,AGT0114,Hotel Complaint,chat,India,2023-05-13 16:44:00,13,13,3,False,True,False
TKT0000160,CUST007006,BKG0028273,AGT0082,Cancellation Request,email,India,2023-06-13 13:57:00,66,103,4,True,False,True
TKT0000161,CUST015367,BKG0014338,AGT0026,Cancellation Request,chat,Philippines,2023-12-23 22:22:00,18,43,3,False,False,False
TKT0000162,CUST012563,BKG0046210,AGT0107,Cancellation Request,chat,India,2024-08-11 09:21:00,23,28,2,False,False,False
TKT0000163,CUST012333,BKG0048106,AGT0132,Hotel Complaint,chat,Thailand,2024-01-05 02:59:00,11,11,4,False,False,False
TKT0000164,CUST016310,BKG0003031,AGT0139,Booking Modification,email,Philippines,2023-05-17 12:35:00,33,45,2,True,False,True
TKT0000165,CUST011705,BKG0037544,AGT0005,Cancellation Request,call,Thailand,2023-04-06 10:08:00,12,12,5,False,True,False
TKT0000166,CUST002249,BKG0019811,AGT0138,Payment Issue,chat,Thailand,2024-05-10 15:16:00,9,9,4,False,False,False
TKT0000167,CUST010541,BKG0023444,AGT0079,Cancellation Request,chat,Indonesia,2023-08-25 16:48:00,12,22,2,False,True,False
TKT0000168,CUST000449,BKG0016044,AGT0019,Cancellation Request,email,Indonesia,2024-09-03 14:34:00,56,66,3,True,False,True
TKT0000169,CUST006509,BKG0009369,AGT0025,Cancellation Request,chat,Indonesia,2024-04-11 08:56:00,16,16,4,False,True,False
TKT0000170,CUST005556,BKG0032089,AGT0122,Refund Inquiry,chat,Indonesia,2023-05-19 16:01:00,17,17,4,False,True,False
TKT0000171,CUST006317,BKG0015449,AGT0001,Hotel Complaint,call,Philippines,2024-03-02 21:08:00,7,7,4,False,False,False
TKT0000172,CUST005814,BKG0037728,AGT0025,Payment Issue,chat,Vietnam,2024-09-17 11:48:00,17,31,4,False,False,False
TKT0000173,CUST016585,BKG0009955,AGT0139,Refund Inquiry,chat,Indonesia,2023-11-08 18:33:00,10,10,4,False,True,False
TKT0000174,CUST005972,BKG0046155,AGT0109,Cancellation Request,chat,Singapore,2024-12-19 10:22:00,16,17,4,True,False,False
TKT0000175,CUST012503,BKG0022900,AGT0099,Booking Modification,chat,Indonesia,2024-11-24 09:54:00,6,6,5,False,False,False
TKT0000176,CUST002164,BKG0017787,AGT0144,Hotel Complaint,chat,Singapore,2023-05-25 13:36:00,9,9,5,False,True,False
TKT0000177,CUST010003,BKG0018752,AGT0145,Booking Modification,chat,Indonesia,2024-04-21 00:38:00,11,23,4,False,True,False
TKT0000178,CUST008006,BKG0001445,AGT0134,Hotel Complaint,call,Thailand,2024-07-05 02:44:00,18,18,4,False,True,False
TKT0000179,CUST012847,BKG0036741,AGT0018,Cancellation Request,call,Thailand,2024-05-06 16:06:00,9,9,4,False,False,False
TKT0000180,CUST017111,BKG0021039,AGT0093,Booking Modification,email,Philippines,2024-12-21 10:10:00,30,48,4,False,False,False
TKT0000181,CUST009177,BKG0035412,AGT0101,Refund Inquiry,chat,Singapore,2023-11-03 07:25:00,16,20,5,False,True,False
TKT0000182,CUST004950,BKG0026423,AGT0046,Booking Modification,email,Indonesia,2024-01-13 15:56:00,18,29,4,False,False,False
TKT0000183,CUST008570,BKG0041251,AGT0096,Refund Inquiry,chat,Thailand,2023-03-26 06:04:00,14,14,4,False,True,False
TKT0000184,CUST017666,BKG0000903,AGT0040,Cancellation Request,chat,Thailand,2024-09-15 04:32:00,11,17,3,False,False,False
TKT0000185,CUST012684,BKG0034331,AGT0071,Refund Inquiry,chat,Thailand,2023-04-13 16:59:00,28,39,3,False,True,False
TKT0000186,CUST007739,BKG0007873,AGT0029,Hotel Complaint,email,Thailand,2024-10-16 17:29:00,43,59,3,False,False,True
TKT0000187,CUST008750,BKG0016946,AGT0068,Refund Inquiry,chat,Indonesia,2024-10-22 09:19:00,19,19,4,False,True,False
TKT0000188,CUST001083,BKG0045414,AGT0003,Booking Modification,email,Thailand,2024-05-26 17:41:00,33,55,4,False,False,True
TKT0000189,CUST003144,BKG0012941,AGT0021,Refund Inquiry,chat,Thailand,2024-12-20 09:35:00,4,10,5,False,True,False
TKT0000190,CUST000710,BKG0014271,AGT0069,Cancellation Request,call,Indonesia,2023-05-09 01:31:00,17,34,4,False,True,False
TKT0000191,CUST012298,BKG0031544,AGT0025,Cancellation Request,chat,Indonesia,2024-07-13 15:42:00,19,38,4,False,False,False
TKT0000192,CUST006885,BKG0049113,AGT0027,Booking Modification,email,Indonesia,2023-02-11 12:52:00,24,24,5,False,False,False
TKT0000193,CUST015408,BKG0005458,AGT0150,Refund Inquiry,call,Vietnam,2024-10-17 04:33:00,21,37,4,False,False,False
TKT0000194,CUST011715,BKG0009511,AGT0027,Refund Inquiry,email,India,2024-08-16 06:49:00,48,63,5,False,True,True
TKT0000195,CUST001198,BKG0049442,AGT0128,Refund Inquiry,chat,Singapore,2023-10-14 14:13:00,7,10,4,False,True,False
TKT0000196,CUST007717,BKG0009803,AGT0120,Refund Inquiry,email,Thailand,2024-10-12 18:09:00,37,77,3,False,True,True
TKT0000197,CUST012338,BKG0046125,AGT0033,Payment Issue,chat,Indonesia,2023-01-25 23:30:00,19,38,5,False,False,False
TKT0000198,CUST004449,BKG0042326,AGT0020,Refund Inquiry,chat,Singapore,2024-03-16 19:53:00,16,27,3,False,True,False
TKT0000199,CUST014009,BKG0047528,AGT0142,Refund Inquiry,call,Indonesia,2023-03-22 11:42:00,14,29,3,False,True,False
TKT0000200,CUST015076,BKG0026575,AGT0083,Payment Issue,email,India,2023-05-04 11:57:00,70,115,4,False,False,True
TKT0000201,CUST004529,BKG0002961,AGT0139,Payment Issue,email,Vietnam,2024-07-20 06:31:00,53,78,4,True,True,True
TKT0000202,CUST016029,BKG0029454,AGT0103,Cancellation Request,email,India,2024-07-08 10:37:00,50,73,3,False,False,True
TKT0000203,CUST011103,BKG0019375,AGT0051,Booking Modification,chat,Thailand,2023-06-03 19:56:00,6,10,5,False,False,False
TKT0000204,CUST004791,BKG0028381,AGT0129,Payment Issue,chat,Vietnam,2024-08-27 10:04:00,15,30,3,False,False,False
TKT0000205,CUST017620,BKG0006672,AGT0055,Refund Inquiry,chat,Singapore,2024-07-28 13:23:00,9,9,4,False,True,False
TKT0000206,CUST014022,BKG0008268,AGT0008,Refund Inquiry,email,Philippines,2024-04-19 06:21:00,76,101,4,False,True,True
TKT0000207,CUST011298,BKG0023935,AGT0002,Refund Inquiry,call,Thailand,2023-01-09 15:08:00,14,17,5,False,False,False
TKT0000208,CUST004620,BKG0024687,AGT0002,Refund Inquiry,call,Vietnam,2024-08-08 09:22:00,25,42,4,False,False,False
TKT0000209,CUST005866,BKG0023528,AGT0029,Hotel Complaint,chat,Vietnam,2023-10-27 05:35:00,14,17,5,True,False,False
